Notes,County,County Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Houston County, GA",13153,Drug-induced causes,D,119,152122,78.227
,"Houston County, GA",13153,Alcohol-induced causes,A,17,152122,Unreliable
,"Houston County, GA",13153,All other non-drug and non-alcohol causes,O,1178,152122,774.378
,"Irwin County, GA",13155,Drug-induced causes,D,13,9422,Unreliable
,"Irwin County, GA",13155,All other non-drug and non-alcohol causes,O,114,9422,1209.934
,"Jackson County, GA",13157,Drug-induced causes,D,71,64615,109.882
,"Jackson County, GA",13157,Alcohol-induced causes,A,10,64615,Unreliable
,"Jackson County, GA",13157,All other non-drug and non-alcohol causes,O,616,64615,953.339
,"Jasper County, GA",13159,Drug-induced causes,D,14,13654,Unreliable
,"Jasper County, GA",13159,All other non-drug and non-alcohol causes,O,137,13654,1003.369
,"Jeff Davis County, GA",13161,Drug-induced causes,D,19,14877,Unreliable
,"Jeff Davis County, GA",13161,All other non-drug and non-alcohol causes,O,182,14877,1223.365
,"Jefferson County, GA",13163,Drug-induced causes,D,32,15916,201.056
,"Jefferson County, GA",13163,All other non-drug and non-alcohol causes,O,208,15916,1306.861
,"Jenkins County, GA",13165,Drug-induced causes,D,13,8849,Unreliable
,"Jenkins County, GA",13165,All other non-drug and non-alcohol causes,O,102,8849,1152.673
,"Johnson County, GA",13167,All other non-drug and non-alcohol causes,O,105,9505,1104.682
,"Jones County, GA",13169,Drug-induced causes,D,16,28623,Unreliable
,"Jones County, GA",13169,All other non-drug and non-alcohol causes,O,252,28623,880.411
,"Lamar County, GA",13171,Drug-induced causes,D,29,18469,157.02
,"Lamar County, GA",13171,All other non-drug and non-alcohol causes,O,215,18469,1164.113
,"Lanier County, GA",13173,Drug-induced causes,D,15,10399,Unreliable
,"Lanier County, GA",13173,All other non-drug and non-alcohol causes,O,88,10399,846.235
,"Laurens County, GA",13175,Drug-induced causes,D,58,47516,122.064
,"Laurens County, GA",13175,All other non-drug and non-alcohol causes,O,566,47516,1191.178
,"Lee County, GA",13177,Drug-induced causes,D,20,29337,68.173
,"Lee County, GA",13177,All other non-drug and non-alcohol causes,O,201,29337,685.142
,"Liberty County, GA",13179,Drug-induced causes,D,36,62570,57.536
,"Liberty County, GA",13179,All other non-drug and non-alcohol causes,O,367,62570,586.543
,"Lincoln County, GA",13181,Drug-induced causes,D,12,7828,Unreliable
,"Lincoln County, GA",13181,All other non-drug and non-alcohol causes,O,95,7828,1213.592
,"Long County, GA",13183,Drug-induced causes,D,15,18437,Unreliable
,"Long County, GA",13183,All other non-drug and non-alcohol causes,O,91,18437,493.573
,"Lowndes County, GA",13185,Drug-induced causes,D,87,114628,75.898
,"Lowndes County, GA",13185,Alcohol-induced causes,A,15,114628,Unreliable
,"Lowndes County, GA",13185,All other non-drug and non-alcohol causes,O,908,114628,792.128
,"Lumpkin County, GA",13187,Drug-induced causes,D,49,31445,155.828
,"Lumpkin County, GA",13187,All other non-drug and non-alcohol causes,O,263,31445,836.381
,"McDuffie County, GA",13189,Drug-induced causes,D,32,21490,148.906
,"McDuffie County, GA",13189,All other non-drug and non-alcohol causes,O,225,21490,1046.999
,"McIntosh County, GA",13191,Drug-induced causes,D,17,13927,Unreliable
,"McIntosh County, GA",13191,All other non-drug and non-alcohol causes,O,134,13927,962.16
,"Macon County, GA",13193,Drug-induced causes,D,13,13450,Unreliable
,"Macon County, GA",13193,All other non-drug and non-alcohol causes,O,156,13450,1159.851
,"Madison County, GA",13195,Drug-induced causes,D,39,28824,135.304
,"Madison County, GA",13195,All other non-drug and non-alcohol causes,O,290,28824,1006.106
,"Marion County, GA",13197,Drug-induced causes,D,14,8524,Unreliable
,"Marion County, GA",13197,All other non-drug and non-alcohol causes,O,76,8524,891.6
,"Meriwether County, GA",13199,Drug-induced causes,D,34,21074,161.336
,"Meriwether County, GA",13199,All other non-drug and non-alcohol causes,O,296,21074,1404.574
,"Miller County, GA",13201,Drug-induced causes,D,16,5926,Unreliable
,"Miller County, GA",13201,All other non-drug and non-alcohol causes,O,87,5926,1468.107
,"Mitchell County, GA",13205,Drug-induced causes,D,28,22459,124.672
,"Mitchell County, GA",13205,All other non-drug and non-alcohol causes,O,229,22459,1019.636
,"Monroe County, GA",13207,Drug-induced causes,D,23,27306,84.231
,"Monroe County, GA",13207,All other non-drug and non-alcohol causes,O,282,27306,1032.74
,"Montgomery County, GA",13209,All other non-drug and non-alcohol causes,O,79,9060,871.965
,"Morgan County, GA",13211,All other non-drug and non-alcohol causes,O,184,18170,1012.658
,"Murray County, GA",13213,Drug-induced causes,D,83,39315,211.115
,"Murray County, GA",13213,All other non-drug and non-alcohol causes,O,404,39315,1027.598
,"Muscogee County, GA",13215,Drug-induced causes,D,368,197485,186.343
,"Muscogee County, GA",13215,Alcohol-induced causes,A,42,197485,21.267
,"Muscogee County, GA",13215,All other non-drug and non-alcohol causes,O,2089,197485,1057.802
,"Newton County, GA",13217,Drug-induced causes,D,89,106999,83.178
,"Newton County, GA",13217,All other non-drug and non-alcohol causes,O,806,106999,753.278
,"Oconee County, GA",13219,Drug-induced causes,D,20,36838,54.292
,"Oconee County, GA",13219,All other non-drug and non-alcohol causes,O,240,36838,651.501
,"Oglethorpe County, GA",13221,All other non-drug and non-alcohol causes,O,144,14921,965.083
,"Paulding County, GA",13223,Drug-induced causes,D,157,155825,100.754
,"Paulding County, GA",13223,Alcohol-induced causes,A,13,155825,Unreliable
,"Paulding County, GA",13223,All other non-drug and non-alcohol causes,O,876,155825,562.169
,"Peach County, GA",13225,Drug-induced causes,D,24,26655,90.039
,"Peach County, GA",13225,All other non-drug and non-alcohol causes,O,337,26655,1264.303
,"Pickens County, GA",13227,Drug-induced causes,D,43,30832,139.465
,"Pickens County, GA",13227,All other non-drug and non-alcohol causes,O,358,30832,1161.131
,"Pierce County, GA",13229,Drug-induced causes,D,46,19171,239.946
,"Pierce County, GA",13229,All other non-drug and non-alcohol causes,O,216,19171,1126.702
,"Pike County, GA",13231,Drug-induced causes,D,22,17941,122.624
,"Pike County, GA",13231,All other non-drug and non-alcohol causes,O,186,17941,1036.732
,"Polk County, GA",13233,Drug-induced causes,D,87,41776,208.254
,"Polk County, GA",13233,All other non-drug and non-alcohol causes,O,506,41776,1211.222
,"Pulaski County, GA",13235,Drug-induced causes,D,17,11251,Unreliable
,"Pulaski County, GA",13235,All other non-drug and non-alcohol causes,O,129,11251,1146.565
,"Putnam County, GA",13237,Drug-induced causes,D,22,21477,102.435
,"Putnam County, GA",13237,All other non-drug and non-alcohol causes,O,249,21477,1159.38
,"Quitman County, GA",13239,All other non-drug and non-alcohol causes,O,18,2335,Unreliable
,"Rabun County, GA",13241,Drug-induced causes,D,37,16559,223.443
,"Rabun County, GA",13241,All other non-drug and non-alcohol causes,O,222,16559,1340.661
,"Randolph County, GA",13243,Drug-induced causes,D,12,7177,Unreliable
,"Randolph County, GA",13243,All other non-drug and non-alcohol causes,O,93,7177,1295.806
,"Richmond County, GA",13245,Drug-induced causes,D,255,201647,126.459
,"Richmond County, GA",13245,Alcohol-induced causes,A,49,201647,24.3
,"Richmond County, GA",13245,All other non-drug and non-alcohol causes,O,2026,201647,1004.726
,"Rockdale County, GA",13247,Drug-induced causes,D,74,89355,82.816
,"Rockdale County, GA",13247,Alcohol-induced causes,A,12,89355,Unreliable
,"Rockdale County, GA",13247,All other non-drug and non-alcohol causes,O,704,89355,787.869
,"Schley County, GA",13249,All other non-drug and non-alcohol causes,O,30,5098,588.466
,"Screven County, GA",13251,Drug-induced causes,D,22,14044,156.651
,"Screven County, GA",13251,All other non-drug and non-alcohol causes,O,143,14044,1018.228
,"Seminole County, GA",13253,Drug-induced causes,D,17,8468,Unreliable
,"Seminole County, GA",13253,All other non-drug and non-alcohol causes,O,147,8468,1735.947
,"Spalding County, GA",13255,Drug-induced causes,D,71,64806,109.558
,"Spalding County, GA",13255,All other non-drug and non-alcohol causes,O,759,64806,1171.188
,"Stephens County, GA",13257,Drug-induced causes,D,39,25751,151.45
,"Stephens County, GA",13257,Alcohol-induced causes,A,11,25751,Unreliable
,"Stephens County, GA",13257,All other non-drug and non-alcohol causes,O,361,25751,1401.887
,"Stewart County, GA",13259,Drug-induced causes,D,13,5705,Unreliable
,"Stewart County, GA",13259,All other non-drug and non-alcohol causes,O,62,5705,1086.766
,"Sumter County, GA",13261,Drug-induced causes,D,27,30389,88.848
,"Sumter County, GA",13261,All other non-drug and non-alcohol causes,O,372,30389,1224.127
,"Talbot County, GA",13263,Drug-induced causes,D,20,6171,324.097
,"Talbot County, GA",13263,All other non-drug and non-alcohol causes,O,80,6171,1296.386
,"Taliaferro County, GA",13265,All other non-drug and non-alcohol causes,O,20,1593,1255.493
,"Tattnall County, GA",13267,Drug-induced causes,D,41,25092,163.399
,"Tattnall County, GA",13267,All other non-drug and non-alcohol causes,O,247,25092,984.377
,"Taylor County, GA",13269,All other non-drug and non-alcohol causes,O,102,8232,1239.067
,"Telfair County, GA",13271,Drug-induced causes,D,19,15965,Unreliable
,"Telfair County, GA",13271,All other non-drug and non-alcohol causes,O,157,15965,983.401
,"Terrell County, GA",13273,All other non-drug and non-alcohol causes,O,102,8967,1137.504
,"Thomas County, GA",13275,Drug-induced causes,D,69,45248,152.493
,"Thomas County, GA",13275,All other non-drug and non-alcohol causes,O,517,45248,1142.592
,"Tift County, GA",13277,Drug-induced causes,D,35,40828,85.725
,"Tift County, GA",13277,All other non-drug and non-alcohol causes,O,420,40828,1028.706
,"Toombs County, GA",13279,Drug-induced causes,D,39,27196,143.403
,"Toombs County, GA",13279,All other non-drug and non-alcohol causes,O,317,27196,1165.613
,"Towns County, GA",13281,Drug-induced causes,D,24,11391,210.693
,"Towns County, GA",13281,All other non-drug and non-alcohol causes,O,193,11391,1694.32
,"Treutlen County, GA",13283,All other non-drug and non-alcohol causes,O,72,6637,1084.827
,"Troup County, GA",13285,Drug-induced causes,D,55,70005,78.566
,"Troup County, GA",13285,All other non-drug and non-alcohol causes,O,723,70005,1032.783
,"Turner County, GA",13287,Drug-induced causes,D,17,8030,Unreliable
,"Turner County, GA",13287,All other non-drug and non-alcohol causes,O,111,8030,1382.316
,"Twiggs County, GA",13289,Drug-induced causes,D,13,8171,Unreliable
,"Twiggs County, GA",13289,All other non-drug and non-alcohol causes,O,105,8171,1285.032
,"Union County, GA",13291,Drug-induced causes,D,36,22928,157.013
,"Union County, GA",13291,All other non-drug and non-alcohol causes,O,295,22928,1286.636
,"Upson County, GA",13293,Drug-induced causes,D,58,26335,220.239
,"Upson County, GA",13293,All other non-drug and non-alcohol causes,O,354,26335,1344.219
,"Walker County, GA",13295,Drug-induced causes,D,115,67896,169.377
,"Walker County, GA",13295,Alcohol-induced causes,A,10,67896,Unreliable
,"Walker County, GA",13295,All other non-drug and non-alcohol causes,O,881,67896,1297.573
,"Walton County, GA",13297,Drug-induced causes,D,114,90184,126.408
,"Walton County, GA",13297,Alcohol-induced causes,A,15,90184,Unreliable
,"Walton County, GA",13297,All other non-drug and non-alcohol causes,O,852,90184,944.735
,"Ware County, GA",13299,Drug-induced causes,D,68,35738,190.274
,"Ware County, GA",13299,All other non-drug and non-alcohol causes,O,449,35738,1256.366
,"Warren County, GA",13301,Drug-induced causes,D,12,5442,Unreliable
,"Warren County, GA",13301,All other non-drug and non-alcohol causes,O,79,5442,1451.672
,"Washington County, GA",13303,Drug-induced causes,D,26,20457,127.096
,"Washington County, GA",13303,All other non-drug and non-alcohol causes,O,253,20457,1236.74
,"Wayne County, GA",13305,Drug-induced causes,D,60,30104,199.309
,"Wayne County, GA",13305,All other non-drug and non-alcohol causes,O,353,30104,1172.602
,"Webster County, GA",13307,All other non-drug and non-alcohol causes,O,29,2599,1115.814
,"Wheeler County, GA",13309,All other non-drug and non-alcohol causes,O,57,7978,714.465
,"White County, GA",13311,Drug-induced causes,D,42,28884,145.409
,"White County, GA",13311,All other non-drug and non-alcohol causes,O,267,28884,924.387
,"Whitfield County, GA",13313,Drug-induced causes,D,158,104589,151.068
,"Whitfield County, GA",13313,Alcohol-induced causes,A,16,104589,Unreliable
,"Whitfield County, GA",13313,All other non-drug and non-alcohol causes,O,845,104589,807.924
,"Wilcox County, GA",13315,Drug-induced causes,D,13,8761,Unreliable
,"Wilcox County, GA",13315,All other non-drug and non-alcohol causes,O,106,8761,1209.908
,"Wilkes County, GA",13317,Drug-induced causes,D,21,9805,214.176
,"Wilkes County, GA",13317,All other non-drug and non-alcohol causes,O,143,9805,1458.44
,"Wilkinson County, GA",13319,All other non-drug and non-alcohol causes,O,140,9104,1537.786
,"Worth County, GA",13321,Drug-induced causes,D,23,20748,110.854
,"Worth County, GA",13321,All other non-drug and non-alcohol causes,O,219,20748,1055.523
,"Hawaii County, HI",15001,Drug-induced causes,D,256,198449,129
,"Hawaii County, HI",15001,Alcohol-induced causes,A,31,198449,15.621
,"Hawaii County, HI",15001,All other non-drug and non-alcohol causes,O,1705,198449,859.163
,"Honolulu County, HI",15003,Drug-induced causes,D,1023,992605,103.062
,"Honolulu County, HI",15003,Alcohol-induced causes,A,111,992605,11.183
,"Honolulu County, HI",15003,All other non-drug and non-alcohol causes,O,7556,992605,761.229
,"Kauai County, HI",15007,Drug-induced causes,D,101,72029,140.221
,"Kauai County, HI",15007,Alcohol-induced causes,A,15,72029,Unreliable
,"Kauai County, HI",15007,All other non-drug and non-alcohol causes,O,552,72029,766.358
,"Maui County, HI",15009,Drug-induced causes,D,136,165386,82.232
,"Maui County, HI",15009,Alcohol-induced causes,A,31,165386,18.744
,"Maui County, HI",15009,All other non-drug and non-alcohol causes,O,1074,165386,649.39
,"Ada County, ID",16001,Drug-induced causes,D,583,444028,131.298
,"Ada County, ID",16001,Alcohol-induced causes,A,101,444028,22.746
,"Ada County, ID",16001,All other non-drug and non-alcohol causes,O,2985,444028,672.255
,"Adams County, ID",16003,Drug-induced causes,D,11,3900,Unreliable
,"Adams County, ID",16003,All other non-drug and non-alcohol causes,O,40,3900,1025.641
,"Bannock County, ID",16005,Drug-induced causes,D,160,84377,189.625
,"Bannock County, ID",16005,Alcohol-induced causes,A,33,84377,39.11
,"Bannock County, ID",16005,All other non-drug and non-alcohol causes,O,715,84377,847.387
,"Bear Lake County, ID",16007,All other non-drug and non-alcohol causes,O,56,5945,941.968
,"Benewah County, ID",16009,Drug-induced causes,D,53,9092,582.93
,"Benewah County, ID",16009,Alcohol-induced causes,A,14,9092,Unreliable
,"Benewah County, ID",16009,All other non-drug and non-alcohol causes,O,131,9092,1440.827
,"Bingham County, ID",16011,Drug-induced causes,D,64,45201,141.59
,"Bingham County, ID",16011,Alcohol-induced causes,A,11,45201,Unreliable
,"Bingham County, ID",16011,All other non-drug and non-alcohol causes,O,394,45201,871.662
,"Blaine County, ID",16013,Drug-induced causes,D,18,21791,Unreliable
,"Blaine County, ID",16013,All other non-drug and non-alcohol causes,O,107,21791,491.028
,"Boise County, ID",16015,Drug-induced causes,D,11,7124,Unreliable
,"Boise County, ID",16015,All other non-drug and non-alcohol causes,O,54,7124,758.001
,"Bonner County, ID",16017,Drug-induced causes,D,104,42536,244.499
,"Bonner County, ID",16017,Alcohol-induced causes,A,14,42536,Unreliable
,"Bonner County, ID",16017,All other non-drug and non-alcohol causes,O,443,42536,1041.471
,"Bonneville County, ID",16019,Drug-induced causes,D,147,112232,130.979
,"Bonneville County, ID",16019,Alcohol-induced causes,A,26,112232,23.166
,"Bonneville County, ID",16019,All other non-drug and non-alcohol causes,O,872,112232,776.962
,"Boundary County, ID",16021,Drug-induced causes,D,25,11681,214.023
,"Boundary County, ID",16021,All other non-drug and non-alcohol causes,O,111,11681,950.261
,"Butte County, ID",16023,All other non-drug and non-alcohol causes,O,25,2501,999.6
,"Canyon County, ID",16027,Drug-induced causes,D,327,211698,154.465
,"Canyon County, ID",16027,Alcohol-induced causes,A,43,211698,20.312
,"Canyon County, ID",16027,All other non-drug and non-alcohol causes,O,1496,211698,706.667
,"Caribou County, ID",16029,All other non-drug and non-alcohol causes,O,63,6887,914.767
,"Cassia County, ID",16031,Drug-induced causes,D,19,23504,Unreliable
,"Cassia County, ID",16031,All other non-drug and non-alcohol causes,O,184,23504,782.845
,"Clearwater County, ID",16035,Drug-induced causes,D,39,8497,458.986
,"Clearwater County, ID",16035,All other non-drug and non-alcohol causes,O,116,8497,1365.188
,"Custer County, ID",16037,All other non-drug and non-alcohol causes,O,41,4096,1000.977
,"Elmore County, ID",16039,Drug-induced causes,D,60,26018,230.61
,"Elmore County, ID",16039,Alcohol-induced causes,A,11,26018,Unreliable
,"Elmore County, ID",16039,All other non-drug and non-alcohol causes,O,210,26018,807.134
,"Franklin County, ID",16041,All other non-drug and non-alcohol causes,O,96,13406,716.097
,"Fremont County, ID",16043,Drug-induced causes,D,18,12943,Unreliable
,"Fremont County, ID",16043,All other non-drug and non-alcohol causes,O,104,12943,803.523
,"Gem County, ID",16045,Drug-induced causes,D,47,17184,273.51
,"Gem County, ID",16045,All other non-drug and non-alcohol causes,O,212,17184,1233.706
,"Gooding County, ID",16047,Drug-induced causes,D,21,15185,138.294
,"Gooding County, ID",16047,All other non-drug and non-alcohol causes,O,153,15185,1007.573
,"Idaho County, ID",16049,Drug-induced causes,D,28,16156,173.31
,"Idaho County, ID",16049,All other non-drug and non-alcohol causes,O,192,16156,1188.413
,"Jefferson County, ID",16051,Drug-induced causes,D,30,27839,107.762
,"Jefferson County, ID",16051,All other non-drug and non-alcohol causes,O,174,27839,625.022
,"Jerome County, ID",16053,Drug-induced causes,D,19,22994,Unreliable
,"Jerome County, ID",16053,All other non-drug and non-alcohol causes,O,189,22994,821.954
,"Kootenai County, ID",16055,Drug-induced causes,D,404,154311,261.809
,"Kootenai County, ID",16055,Alcohol-induced causes,A,65,154311,42.123
,"Kootenai County, ID",16055,All other non-drug and non-alcohol causes,O,1385,154311,897.538
,"Latah County, ID",16057,Drug-induced causes,D,49,39196,125.013
,"Latah County, ID",16057,All other non-drug and non-alcohol causes,O,242,39196,617.41
,"Lemhi County, ID",16059,Drug-induced causes,D,18,7723,Unreliable
,"Lemhi County, ID",16059,All other non-drug and non-alcohol causes,O,89,7723,1152.402
,"Lewis County, ID",16061,All other non-drug and non-alcohol causes,O,44,3853,1141.967
,"Lincoln County, ID",16063,All other non-drug and non-alcohol causes,O,31,5271,588.124
,"Madison County, ID",16065,All other non-drug and non-alcohol causes,O,113,39048,289.387
,"Minidoka County, ID",16067,Drug-induced causes,D,27,20616,130.966
,"Minidoka County, ID",16067,All other non-drug and non-alcohol causes,O,151,20616,732.441
,"Nez Perce County, ID",16069,Drug-induced causes,D,90,40369,222.943
,"Nez Perce County, ID",16069,All other non-drug and non-alcohol causes,O,512,40369,1268.3
,"Oneida County, ID",16071,All other non-drug and non-alcohol causes,O,33,4343,759.843
,"Owyhee County, ID",16073,Drug-induced causes,D,21,11389,184.388
,"Owyhee County, ID",16073,All other non-drug and non-alcohol causes,O,96,11389,842.919
,"Payette County, ID",16075,Drug-induced causes,D,63,23026,273.604
,"Payette County, ID",16075,All other non-drug and non-alcohol causes,O,199,23026,864.24
,"Power County, ID",16077,Drug-induced causes,D,19,7654,Unreliable
,"Power County, ID",16077,All other non-drug and non-alcohol causes,O,69,7654,901.489
,"Shoshone County, ID",16079,Drug-induced causes,D,56,12452,449.727
,"Shoshone County, ID",16079,Alcohol-induced causes,A,15,12452,Unreliable
,"Shoshone County, ID",16079,All other non-drug and non-alcohol causes,O,190,12452,1525.859
,"Teton County, ID",16081,All other non-drug and non-alcohol causes,O,46,10960,419.708
,"Twin Falls County, ID",16083,Drug-induced causes,D,150,83514,179.611
,"Twin Falls County, ID",16083,Alcohol-induced causes,A,21,83514,25.145
,"Twin Falls County, ID",16083,All other non-drug and non-alcohol causes,O,763,83514,913.619
,"Valley County, ID",16085,Drug-induced causes,D,18,10496,Unreliable
,"Valley County, ID",16085,All other non-drug and non-alcohol causes,O,86,10496,819.36
,"Washington County, ID",16087,Drug-induced causes,D,25,10172,245.773
,"Washington County, ID",16087,All other non-drug and non-alcohol causes,O,104,10172,1022.414
,"Adams County, IL",17001,Drug-induced causes,D,106,66578,159.212
,"Adams County, IL",17001,Alcohol-induced causes,A,13,66578,Unreliable
,"Adams County, IL",17001,All other non-drug and non-alcohol causes,O,772,66578,1159.542
,"Alexander County, IL",17003,Drug-induced causes,D,11,6478,Unreliable
,"Alexander County, IL",17003,All other non-drug and non-alcohol causes,O,101,6478,1559.123
,"Bond County, IL",17005,Drug-induced causes,D,36,16824,213.98
,"Bond County, IL",17005,All other non-drug and non-alcohol causes,O,183,16824,1087.732
,"Boone County, IL",17007,Drug-induced causes,D,82,53503,153.262
,"Boone County, IL",17007,All other non-drug and non-alcohol causes,O,407,53503,760.705
,"Brown County, IL",17009,Drug-induced causes,D,10,6762,Unreliable
,"Brown County, IL",17009,All other non-drug and non-alcohol causes,O,58,6762,857.734
,"Bureau County, IL",17011,Drug-induced causes,D,37,33359,110.915
,"Bureau County, IL",17011,All other non-drug and non-alcohol causes,O,447,33359,1339.968
,"Calhoun County, IL",17013,All other non-drug and non-alcohol causes,O,50,4894,1021.659
,"Carroll County, IL",17015,Drug-induced causes,D,36,14539,247.61
,"Carroll County, IL",17015,All other non-drug and non-alcohol causes,O,177,14539,1217.415
,"Cass County, IL",17017,Drug-induced causes,D,13,12676,Unreliable
,"Cass County, IL",17017,All other non-drug and non-alcohol causes,O,159,12676,1254.339
,"Champaign County, IL",17019,Drug-induced causes,D,83,208419,39.824
,"Champaign County, IL",17019,Alcohol-induced causes,A,44,208419,21.111
,"Champaign County, IL",17019,All other non-drug and non-alcohol causes,O,1308,208419,627.582
,"Christian County, IL",17021,Drug-induced causes,D,89,33309,267.195
,"Christian County, IL",17021,All other non-drug and non-alcohol causes,O,415,33309,1245.91
,"Clark County, IL",17023,Drug-induced causes,D,38,15938,238.424
,"Clark County, IL",17023,All other non-drug and non-alcohol causes,O,178,15938,1116.828
,"Clay County, IL",17025,Drug-induced causes,D,10,13300,Unreliable
,"Clay County, IL",17025,All other non-drug and non-alcohol causes,O,181,13300,1360.902
,"Clinton County, IL",17027,Drug-induced causes,D,51,37729,135.175
,"Clinton County, IL",17027,All other non-drug and non-alcohol causes,O,341,37729,903.814
,"Coles County, IL",17029,Drug-induced causes,D,76,52343,145.196
,"Coles County, IL",17029,Alcohol-induced causes,A,12,52343,Unreliable
,"Coles County, IL",17029,All other non-drug and non-alcohol causes,O,524,52343,1001.089
,"Cook County, IL",17031,Drug-induced causes,D,4110,5203499,78.985
,"Cook County, IL",17031,Alcohol-induced causes,A,1052,5203499,20.217
,"Cook County, IL",17031,All other non-drug and non-alcohol causes,O,40711,5203499,782.377
,"Crawford County, IL",17033,Drug-induced causes,D,29,19308,150.197
,"Crawford County, IL",17033,All other non-drug and non-alcohol causes,O,254,19308,1315.517
,"Cumberland County, IL",17035,Drug-induced causes,D,14,10858,Unreliable
,"Cumberland County, IL",17035,All other non-drug and non-alcohol causes,O,109,10858,1003.868
,"DeKalb County, IL",17037,Drug-induced causes,D,106,104528,101.408
,"DeKalb County, IL",17037,Alcohol-induced causes,A,15,104528,Unreliable
,"DeKalb County, IL",17037,All other non-drug and non-alcohol causes,O,699,104528,668.72
,"De Witt County, IL",17039,Drug-induced causes,D,28,16226,172.563
,"De Witt County, IL",17039,All other non-drug and non-alcohol causes,O,188,16226,1158.634
,"Douglas County, IL",17041,Drug-induced causes,D,10,19630,Unreliable
,"Douglas County, IL",17041,All other non-drug and non-alcohol causes,O,181,19630,922.058
,"DuPage County, IL",17043,Drug-induced causes,D,674,929368,72.522
,"DuPage County, IL",17043,Alcohol-induced causes,A,122,929368,13.127
,"DuPage County, IL",17043,All other non-drug and non-alcohol causes,O,6301,929368,677.988
,"Edgar County, IL",17045,Drug-induced causes,D,39,17566,222.02
,"Edgar County, IL",17045,All other non-drug and non-alcohol causes,O,227,17566,1292.269
,"Edwards County, IL",17047,All other non-drug and non-alcohol causes,O,73,6523,1119.117
,"Effingham County, IL",17049,Drug-induced causes,D,38,34386,110.51
,"Effingham County, IL",17049,All other non-drug and non-alcohol causes,O,303,34386,881.173
,"Fayette County, IL",17051,Drug-induced causes,D,44,21789,201.937
,"Fayette County, IL",17051,All other non-drug and non-alcohol causes,O,223,21789,1023.452
,"Ford County, IL",17053,Drug-induced causes,D,20,13575,147.33
,"Ford County, IL",17053,All other non-drug and non-alcohol causes,O,207,13575,1524.862
,"Franklin County, IL",17055,Drug-induced causes,D,98,39156,250.281
,"Franklin County, IL",17055,Alcohol-induced causes,A,13,39156,Unreliable
,"Franklin County, IL",17055,All other non-drug and non-alcohol causes,O,518,39156,1322.913
,"Fulton County, IL",17057,Drug-induced causes,D,82,35536,230.752
,"Fulton County, IL",17057,All other non-drug and non-alcohol causes,O,479,35536,1347.929
,"Gallatin County, IL",17059,Drug-induced causes,D,12,5212,Unreliable
,"Gallatin County, IL",17059,All other non-drug and non-alcohol causes,O,70,5212,1343.054
,"Greene County, IL",17061,Drug-induced causes,D,35,13093,267.318
,"Greene County, IL",17061,All other non-drug and non-alcohol causes,O,190,13093,1451.157
,"Grundy County, IL",17063,Drug-induced causes,D,100,50437,198.267
,"Grundy County, IL",17063,Alcohol-induced causes,A,11,50437,Unreliable
,"Grundy County, IL",17063,All other non-drug and non-alcohol causes,O,396,50437,785.138
,"Hamilton County, IL",17065,Drug-induced causes,D,16,8061,Unreliable
,"Hamilton County, IL",17065,All other non-drug and non-alcohol causes,O,98,8061,1215.73
,"Hancock County, IL",17067,Drug-induced causes,D,25,18508,135.077
,"Hancock County, IL",17067,All other non-drug and non-alcohol causes,O,219,18508,1183.272
,"Hardin County, IL",17069,Drug-induced causes,D,11,4024,Unreliable
,"Hardin County, IL",17069,All other non-drug and non-alcohol causes,O,74,4024,1838.966
,"Henderson County, IL",17071,Drug-induced causes,D,16,6869,Unreliable
,"Henderson County, IL",17071,All other non-drug and non-alcohol causes,O,86,6869,1252.002
,"Henry County, IL",17073,Drug-induced causes,D,82,49280,166.396
,"Henry County, IL",17073,Alcohol-induced causes,A,14,49280,Unreliable
,"Henry County, IL",17073,All other non-drug and non-alcohol causes,O,561,49280,1138.393
,"Iroquois County, IL",17075,Drug-induced causes,D,56,28334,197.642
,"Iroquois County, IL",17075,All other non-drug and non-alcohol causes,O,405,28334,1429.378
,"Jackson County, IL",17077,Drug-induced causes,D,78,58870,132.495
,"Jackson County, IL",17077,Alcohol-induced causes,A,14,58870,Unreliable
,"Jackson County, IL",17077,All other non-drug and non-alcohol causes,O,449,58870,762.697
,"Jasper County, IL",17079,Drug-induced causes,D,14,9536,Unreliable
,"Jasper County, IL",17079,All other non-drug and non-alcohol causes,O,113,9536,1184.983
,"Jefferson County, IL",17081,Drug-induced causes,D,52,38460,135.205
,"Jefferson County, IL",17081,All other non-drug and non-alcohol causes,O,407,38460,1058.242
,"Jersey County, IL",17083,Drug-induced causes,D,56,22025,254.257
,"Jersey County, IL",17083,All other non-drug and non-alcohol causes,O,270,22025,1225.88
,"Jo Daviess County, IL",17085,Drug-induced causes,D,34,21770,156.178
,"Jo Daviess County, IL",17085,All other non-drug and non-alcohol causes,O,255,21770,1171.337
,"Johnson County, IL",17087,Drug-induced causes,D,18,12902,Unreliable
,"Johnson County, IL",17087,All other non-drug and non-alcohol causes,O,121,12902,937.839
,"Kane County, IL",17089,Drug-induced causes,D,322,531715,60.559
,"Kane County, IL",17089,Alcohol-induced causes,A,81,531715,15.234
,"Kane County, IL",17089,All other non-drug and non-alcohol causes,O,3148,531715,592.046
,"Kankakee County, IL",17091,Drug-induced causes,D,140,110008,127.263
,"Kankakee County, IL",17091,Alcohol-induced causes,A,19,110008,Unreliable
